"5","Y","610421318","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610421319","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610432026","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610432027","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610443068","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610443069","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610444103","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610453089","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610463076","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610463077","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610463087","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610463124","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","610463146","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","611170519","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","611170520","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","611170521","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","611170822","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","612140521","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","612170547","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","612170610","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
"5","Y","612320180","","","","","","","","","","","","","","","","","","","","","","","","","","","20251112","","","","20260331","","","","","","","",""
